序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,传感器状态_上位机[9].NO,BOOL[16],,,,,,,
,传感器状态_上位机[9].NO[0],BOOL,,OFF,,,,R10009.0,
,传感器状态_上位机[9].NO[1],BOOL,,OFF,,,,R10009.1,
,传感器状态_上位机[9].NO[2],BOOL,,OFF,,,,R10009.2,
,传感器状态_上位机[9].NO[3],BOOL,,OFF,,,,R10009.3,
,传感器状态_上位机[9].NO[4],BOOL,,OFF,,,,R10009.4,
,传感器状态_上位机[9].NO[5],BOOL,,OFF,,,,R10009.5,
,传感器状态_上位机[9].NO[6],BOOL,,OFF,,,,R10009.6,
,传感器状态_上位机[9].NO[7],BOOL,,OFF,,,,R10009.7,
,传感器状态_上位机[9].NO[8],BOOL,,OFF,,,,R10009.8,
,传感器状态_上位机[9].NO[9],BOOL,,OFF,,,,R10009.9,
,传感器状态_上位机[9].NO[10],BOOL,,OFF,,,,R10009.10,
,传感器状态_上位机[9].NO[11],BOOL,,OFF,,,,R10009.11,
,传感器状态_上位机[9].NO[12],BOOL,,OFF,,,,R10009.12,
,传感器状态_上位机[9].NO[13],BOOL,,OFF,,,,R10009.13,
,传感器状态_上位机[9].NO[14],BOOL,,OFF,,,,R10009.14,
,传感器状态_上位机[9].NO[15],BOOL,,OFF,,,,R10009.15,
2,物料二维码_上位机,INT[30],,...,保持,公有,,R10010,
,物料二维码_上位机[0],INT,,0,,,,R10010,
,物料二维码_上位机[1],INT,,0,,,,R10011,
,物料二维码_上位机[2],INT,,0,,,,R10012,
,物料二维码_上位机[3],INT,,0,,,,R10013,
,物料二维码_上位机[4],INT,,0,,,,R10014,
,物料二维码_上位机[5],INT,,0,,,,R10015,
,物料二维码_上位机[6],INT,,0,,,,R10016,
,物料二维码_上位机[7],INT,,0,,,,R10017,
,物料二维码_上位机[8],INT,,0,,,,R10018,
,物料二维码_上位机[9],INT,,0,,,,R10019,
,物料二维码_上位机[10],INT,,0,,,,R10020,
,物料二维码_上位机[11],INT,,0,,,,R10021,
,物料二维码_上位机[12],INT,,0,,,,R10022,
,物料二维码_上位机[13],INT,,0,,,,R10023,
,物料二维码_上位机[14],INT,,0,,,,R10024,
,物料二维码_上位机[15],INT,,0,,,,R10025,
,物料二维码_上位机[16],INT,,0,,,,R10026,
,物料二维码_上位机[17],INT,,0,,,,R10027,
,物料二维码_上位机[18],INT,,0,,,,R10028,
,物料二维码_上位机[19],INT,,0,,,,R10029,
,物料二维码_上位机[20],INT,,0,,,,R10030,
,物料二维码_上位机[21],INT,,0,,,,R10031,
,物料二维码_上位机[22],INT,,0,,,,R10032,
,物料二维码_上位机[23],INT,,0,,,,R10033,
,物料二维码_上位机[24],INT,,0,,,,R10034,
,物料二维码_上位机[25],INT,,0,,,,R10035,
,物料二维码_上位机[26],INT,,0,,,,R10036,
,物料二维码_上位机[27],INT,,0,,,,R10037,
,物料二维码_上位机[28],INT,,0,,,,R10038,
,物料二维码_上位机[29],INT,,0,,,,R10039,
3,S04数据清空,BOOL,,OFF,保持,私有,,R10100.4,
4,S041准备信号,BOOL,,OFF,保持,公有,磁搅1_PLC TO PC 设备可以取放料,R10100.0,
5,S041磁搅状态,INT,,0,保持,公有,磁搅1_PLC TO PC  1空闲，2Busy,R10101,
6,S041允许加工,BOOL,,OFF,保持,公有,磁搅1_PLC TO PC 放料完成等待参数下发,R10100.1,
7,S041磁搅工艺选择,INT,,0,保持,公有,磁搅工位1_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10102,
8,S041参数写入完成,BOOL,,OFF,保持,公有,磁搅工位1_PC TO PLC ,R10100.2,
9,S041加工完成,BOOL,,OFF,保持,公有,磁搅工位1_PLC TO PC,R10100.3,
10,S042准备信号,BOOL,,OFF,保持,公有,磁搅工位2_PLC TO PC 设备可以取放料,R10110.0,
11,S042磁搅状态,INT,,0,保持,公有,磁搅工位2_PLC TO PC  1空闲，2Busy,R10111,
12,S042允许加工,BOOL,,OFF,保持,公有,磁搅工位2_PLC TO PC 放料完成等待参数下发,R10110.1,
13,S042磁搅工艺选择,INT,,0,保持,公有,磁搅工位2_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10112,
14,S042参数写入完成,BOOL,,OFF,保持,公有,磁搅工位2_PC TO PLC ,R10110.2,
15,S042加工完成,BOOL,,OFF,保持,公有,磁搅工位2_PLC TO PC,R10110.3,
16,S043准备信号,BOOL,,OFF,保持,公有,磁搅工位3_PLC TO PC 设备可以取放料,R10120.0,
17,S043磁搅状态,INT,,0,保持,公有,磁搅工位3_PLC TO PC  1空闲，2Busy,R10121,
18,S043允许加工,BOOL,,OFF,保持,公有,磁搅工位3_PLC TO PC 放料完成等待参数下发,R10120.1,
19,S043磁搅工艺选择,INT,,0,保持,公有,磁搅工位3_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10122,
20,S043参数写入完成,BOOL,,OFF,保持,公有,磁搅工位3_PC TO PLC ,R10120.2,
21,S043加工完成,BOOL,,OFF,保持,公有,磁搅工位3_PLC TO PC,R10120.3,
22,S044准备信号,BOOL,,OFF,保持,公有,磁搅工位4_PLC TO PC 设备可以取放料,R10130.0,
23,S044磁搅状态,INT,,0,保持,公有,磁搅工位4_PLC TO PC  1空闲，2Busy,R10131,
24,S044允许加工,BOOL,,OFF,保持,公有,磁搅工位4_PLC TO PC 放料完成等待参数下发,R10130.1,
25,S044磁搅工艺选择,INT,,0,保持,公有,磁搅工位4_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10132,
26,S044参数写入完成,BOOL,,OFF,保持,公有,磁搅工位4_PC TO PLC ,R10130.2,
27,S044加工完成,BOOL,,OFF,保持,公有,磁搅工位4_PLC TO PC,R10130.3,
28,S045准备信号,BOOL,,OFF,保持,公有,磁搅工位5_PLC TO PC 设备可以取放料,R10140.0,
29,S045磁搅状态,INT,,0,保持,公有,磁搅工位5_PLC TO PC  1空闲，2Busy,R10141,
30,S045允许加工,BOOL,,OFF,保持,公有,磁搅工位5_PLC TO PC 放料完成等待参数下发,R10140.1,
31,S045磁搅工艺选择,INT,,0,保持,公有,磁搅工位5_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10142,
32,S045参数写入完成,BOOL,,OFF,保持,公有,磁搅工位5_PC TO PLC ,R10140.2,
33,S045加工完成,BOOL,,OFF,保持,公有,磁搅工位5_PLC TO PC,R10140.3,
34,S046准备信号,BOOL,,OFF,保持,公有,磁搅工位6_PLC TO PC 设备可以取放料,R10150.0,
35,S046磁搅状态,INT,,0,保持,公有,磁搅工位6_PLC TO PC  1空闲，2Busy,R10151,
36,S046允许加工,BOOL,,OFF,保持,公有,磁搅工位6_PLC TO PC 放料完成等待参数下发,R10150.1,
37,S046磁搅工艺选择,INT,,0,保持,公有,磁搅工位6_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10152,
38,S046参数写入完成,BOOL,,OFF,保持,公有,磁搅工位6_PC TO PLC ,R10150.2,
39,S046加工完成,BOOL,,OFF,保持,公有,磁搅工位6_PLC TO PC,R10150.3,
40,磁搅温度反馈_上位机,REAL[6],,...,保持,公有,,R10160,
,磁搅温度反馈_上位机[0],REAL,,0.000000,,,,R10160,
,磁搅温度反馈_上位机[1],REAL,,0.000000,,,,R10162,
,磁搅温度反馈_上位机[2],REAL,,0.000000,,,,R10164,
,磁搅温度反馈_上位机[3],REAL,,0.000000,,,,R10166,
,磁搅温度反馈_上位机[4],REAL,,0.000000,,,,R10168,
,磁搅温度反馈_上位机[5],REAL,,0.000000,,,,R10170,
41,磁搅速度设置_上位机,INT[6],,...,保持,公有,,R10180,
,磁搅速度设置_上位机[0],INT,,0,,,,R10180,
,磁搅速度设置_上位机[1],INT,,0,,,,R10181,
,磁搅速度设置_上位机[2],INT,,0,,,,R10182,
,磁搅速度设置_上位机[3],INT,,0,,,,R10183,
,磁搅速度设置_上位机[4],INT,,0,,,,R10184,
,磁搅速度设置_上位机[5],INT,,0,,,,R10185,
42,磁搅温度设置_上位机,INT[6],,...,保持,公有,,R10190,
,磁搅温度设置_上位机[0],INT,,0,,,,R10190,
,磁搅温度设置_上位机[1],INT,,0,,,,R10191,
,磁搅温度设置_上位机[2],INT,,0,,,,R10192,
,磁搅温度设置_上位机[3],INT,,0,,,,R10193,
,磁搅温度设置_上位机[4],INT,,0,,,,R10194,
,磁搅温度设置_上位机[5],INT,,0,,,,R10195,
43,磁搅时间设置_上位机,DINT[6],,...,保持,公有,,R10200,
,磁搅时间设置_上位机[0],DINT,,30000,,,,R10200,
,磁搅时间设置_上位机[1],DINT,,30000,,,,R10202,
,磁搅时间设置_上位机[2],DINT,,30000,,,,R10204,
,磁搅时间设置_上位机[3],DINT,,30000,,,,R10206,
,磁搅时间设置_上位机[4],DINT,,30000,,,,R10208,
,磁搅时间设置_上位机[5],DINT,,30000,,,,R10210,
44,磁搅安全温度设置_上位机,INT[6],,...,保持,公有,,R10220,
,磁搅安全温度设置_上位机[0],INT,,0,,,,R10220,
,磁搅安全温度设置_上位机[1],INT,,0,,,,R10221,
,磁搅安全温度设置_上位机[2],INT,,0,,,,R10222,
,磁搅安全温度设置_上位机[3],INT,,0,,,,R10223,
,磁搅安全温度设置_上位机[4],INT,,0,,,,R10224,
,磁搅安全温度设置_上位机[5],INT,,0,,,,R10225,
45,S05准备信号,BOOL,,OFF,保持,公有,拍照工位机器人可取放料 PLC TO PC,R10230.0,
46,S05数据,INT[30],,...,保持,公有,S05 PC-PLC 照片命名,,
,S05数据[0],INT,,16705,,,,,
,S05数据[1],INT,,16962,,,,,
,S05数据[2],INT,,16705,,,,,
,S05数据[3],INT,,16962,,,,,
,S05数据[4],INT,,16705,,,,,
,S05数据[5],INT,,16962,,,,,
,S05数据[6],INT,,16705,,,,,
,S05数据[7],INT,,16962,,,,,
,S05数据[8],INT,,0,,,,,
,S05数据[9],INT,,0,,,,,
,S05数据[10],INT,,0,,,,,
,S05数据[11],INT,,0,,,,,
,S05数据[12],INT,,0,,,,,
,S05数据[13],INT,,0,,,,,
,S05数据[14],INT,,0,,,,,
,S05数据[15],INT,,0,,,,,
,S05数据[16],INT,,0,,,,,
,S05数据[17],INT,,0,,,,,
,S05数据[18],INT,,0,,,,,
,S05数据[19],INT,,0,,,,,
,S05数据[20],INT,,0,,,,,
,S05数据[21],INT,,0,,,,,
,S05数据[22],INT,,0,,,,,
,S05数据[23],INT,,0,,,,,
,S05数据[24],INT,,0,,,,,
,S05数据[25],INT,,0,,,,,
,S05数据[26],INT,,0,,,,,
,S05数据[27],INT,,0,,,,,
,S05数据[28],INT,,0,,,,,
,S05数据[29],INT,,0,,,,,
47,S05拍照结果,INT,,0,保持,公有,"拍照1OK,2NG  PLC TO PC",R10231,
48,S05加工完成,BOOL,,OFF,保持,公有,拍照工位完成 PLC TO PC,R10230.1,
49,S06准备信号,BOOL,,OFF,保持,公有,加溶液工位  PLC TO PC,R10300.0,
50,S06允许加工,BOOL,,OFF,保持,公有,加溶液工位  放料完成等待参数下发 PLC TO PC,R10300.1,
51,S06工艺选择,INT,,0,保持,公有,加溶液工位参数  PC TO PLC 1.只加1号溶液，2.只加2号溶液，3.1和2溶液都添加,R10301,
52,S06_1号溶液添加量,INT,,5,保持,公有,加溶液工位参数  PC TO PLC,R10302,
53,S06_2号溶液添加量,INT,,8,保持,公有,加溶液工位参数  PC TO PLC,R10303,
54,S06参数写入完成,BOOL,,OFF,保持,公有,加溶液工位  PC TO PLC,R10300.2,
55,S06加工完成,BOOL,,OFF,保持,公有,加溶液工位  PLC TO PC,R10300.3,
56,S06数据清空,BOOL,,OFF,保持,私有,,R10300.4,
57,S08原点信号,BOOL,,OFF,保持,公有,S08开关盖工位-PLC TO PC,R10400.0,
58,S082瓶盖暂存位,INT,,0,保持,公有,取放瓶盖工位 PC TO PLC  1-5,R10401,
59,S08允许加工,BOOL,,OFF,保持,公有,S08开关盖工位-PLC TO PC ,R10400.1,
60,S08工艺选择,INT,,0,保持,公有,S08开关盖工位-PC TO PLC 1-6,R10402,
61,S08参数写入完成,BOOL,,OFF,保持,公有,S08开关盖工位-PC TO PLC,R10400.2,
62,S08工艺完成,INT,,0,保持,公有,S08开关盖工位-PLC TO PC 1-6,R10403,
63,S082_1数据缓存,INT[30],,...,保持,公有,放瓶盖工位1二维码数据存放 PC-PLC,,
,S082_1数据缓存[0],INT,,0,,,,,
,S082_1数据缓存[1],INT,,0,,,,,
,S082_1数据缓存[2],INT,,0,,,,,
,S082_1数据缓存[3],INT,,0,,,,,
,S082_1数据缓存[4],INT,,0,,,,,
,S082_1数据缓存[5],INT,,0,,,,,
,S082_1数据缓存[6],INT,,0,,,,,
,S082_1数据缓存[7],INT,,0,,,,,
,S082_1数据缓存[8],INT,,0,,,,,
,S082_1数据缓存[9],INT,,0,,,,,
,S082_1数据缓存[10],INT,,0,,,,,
,S082_1数据缓存[11],INT,,0,,,,,
,S082_1数据缓存[12],INT,,0,,,,,
,S082_1数据缓存[13],INT,,0,,,,,
,S082_1数据缓存[14],INT,,0,,,,,
,S082_1数据缓存[15],INT,,0,,,,,
,S082_1数据缓存[16],INT,,0,,,,,
,S082_1数据缓存[17],INT,,0,,,,,
,S082_1数据缓存[18],INT,,0,,,,,
,S082_1数据缓存[19],INT,,0,,,,,
,S082_1数据缓存[20],INT,,0,,,,,
,S082_1数据缓存[21],INT,,0,,,,,
